,tweet_id,retweet_count,fav_count
1557,686760001961103360,1252,3227
1558,686749460672679938,1309,3192
1559,686730991906516992,1086,3781
1560,686683045143953408,728,2602
1561,686618349602762752,1234,3398
1562,686606069955735556,489,1742
1563,686394059078897668,629,1582
1564,686386521809772549,789,2994
1565,686377065986265092,513,2035
1566,686358356425093120,593,1989
1567,686286779679375361,1516,3701
1568,686050296934563840,663,2064
1569,686035780142297088,103,1059
1570,686034024800862208,1030,2830
1571,686007916130873345,361,2271
1572,686003207160610816,560,1671
1573,685973236358713344,475,1932
1574,685943807276412928,531,1492
1575,685906723014619143,2579,6866
1576,685681090388975616,110,1877
1577,685667379192414208,506,2181
1578,685663452032069632,1326,2954
1579,685641971164143616,693,2684
1580,685547936038666240,14032,30198
1581,685532292383666176,1042,2799
1582,685325112850124800,3563,8642
1583,685321586178670592,576,2432
1584,685315239903100929,940,3020
1585,685307451701334016,394,1916
1586,685268753634967552,1068,2822
1587,685198997565345792,588,2127
1588,685169283572338688,1269,3761
1589,684969860808454144,326,2216
1590,684959798585110529,2799,6267
1591,684940049151070208,942,2953
1592,684926975086034944,417,3201
1593,684914660081053696,1314,3205
1594,684902183876321280,462,1713
1595,684880619965411328,722,1921
1596,684830982659280897,19563,32158
1597,684800227459624960,898,2506
1598,684594889858887680,3160,8141
1599,684588130326986752,1272,3794
1600,684567543613382656,1095,2743
1601,684538444857667585,850,2424
1602,684481074559381504,1068,3549
1603,684460069371654144,501,1806
1604,684241637099323392,2929,7447
1605,684225744407494656,183,1136
1606,684222868335505415,1231,3498
1607,684200372118904832,941,1968
1608,684195085588783105,452,1750
1609,684188786104872960,1043,3203
1610,684177701129875456,590,1859
1611,684147889187209216,1358,2725
1612,684122891630342144,425,1853
1613,684097758874210310,1291,3765
1614,683857920510050305,1015,3498
1615,683852578183077888,315,1783
1616,683849932751646720,849,2395
1617,683834909291606017,1015,2400
1618,683828599284170753,966,2573
1619,683773439333797890,1215,3056
1620,683742671509258241,2985,5944
1621,683515932363329536,2597,6765
1622,683498322573824003,872,2917
1623,683481228088049664,900,2432
1624,683462770029932544,619,2233
1625,683449695444799489,1452,3560
1626,683391852557561860,2169,7011
1627,683357973142474752,819,2655
1628,683142553609318400,930,2637
1629,683111407806746624,813,3117
1630,683098815881154561,587,1987
1631,683078886620553216,516,1846
1632,683030066213818368,665,1988
1633,682962037429899265,14777,33573
1634,682808988178739200,153,1622
1635,682788441537560576,1014,2275
1636,682750546109968385,397,1392
1637,682697186228989953,332,1205
1638,682662431982772225,980,2801
1639,682638830361513985,533,1898
1640,682429480204398592,1038,3163
1641,682406705142087680,1580,6933
1642,682393905736888321,592,2059
1643,682389078323662849,422,1532
1644,682303737705140231,879,2809
1645,682259524040966145,1071,3785
1646,682242692827447297,1034,2954
1647,682088079302213632,8819,16683
1648,682059653698686977,1521,4522
1649,682047327939461121,843,2943
1650,682032003584274432,1781,6017
1651,682003177596559360,1360,2838
1652,681981167097122816,912,2583
1653,681891461017812993,742,2265
1654,681694085539872773,3671,11763
1655,681679526984871937,398,1629
1656,681654059175129088,817,2408
1657,681610798867845120,415,1725
1658,681579835668455424,1171,3233
1659,681523177663676416,5172,13086
1660,681340665377193984,245,1513
1661,681339448655802368,3683,8520
1662,681320187870711809,671,2400
1663,681302363064414209,1615,3578
1664,681297372102656000,848,2947
1665,681281657291280384,989,2950
1666,681261549936340994,235,1331
1667,681242418453299201,468,1357
1668,681231109724700672,432,2224
1669,681193455364796417,1325,3393
1670,680970795137544192,580,2196
1671,680959110691590145,1808,4188
1672,680940246314430465,932,2904
1673,680934982542561280,391,1901
1674,680913438424612864,562,2193
1675,680889648562991104,321,1599
1676,680836378243002368,1178,3167
1677,680805554198020098,606,1960
1678,680801747103793152,738,2175
1679,680798457301471234,934,2591
1680,680609293079592961,621,2399
1681,680583894916304897,1182,3285
1682,680497766108381184,1723,3861
1683,680494726643068929,435,1565
1684,680473011644985345,661,2333
1685,680440374763077632,436,1315
1686,680221482581123072,259,1350
1687,680206703334408192,1035,2574
1688,680191257256136705,438,1967
1689,680176173301628928,1385,3534
1690,680161097740095489,666,2123
1691,680145970311643136,1546,3293
1692,680130881361686529,849,2099
1693,680115823365742593,820,2485
1694,680100725817409536,1239,3284
1695,680085611152338944,8092,11670
1696,680070545539371008,771,2378
1697,679877062409191424,574,1779
1698,679872969355714560,594,2001
1699,679862121895714818,551,2236
1700,679854723806179328,1093,2596
1701,679844490799091713,681,2176
1702,679828447187857408,12488,32904
1703,679777920601223168,987,2847
1704,679736210798047232,712,1902
1705,679729593985699840,744,1984
1706,679722016581222400,424,1531
1707,679530280114372609,1870,4344
1708,679527802031484928,644,2405
1709,679511351870550016,1137,3050
1710,679503373272485890,1326,2890
1711,679475951516934144,573,1908
1712,679462823135686656,16889,29231
1713,679405845277462528,1066,2146
1714,679158373988876288,7188,19305
1715,679148763231985668,916,2539
1716,679132435750195208,1031,2684
1717,679111216690831360,2295,5399
1718,679062614270468097,7153,15409
1719,679047485189439488,583,2051
1720,679001094530465792,1085,2581
1721,678991772295516161,1011,2057
1722,678969228704284672,407,1497
1723,678800283649069056,812,2347
1724,678798276842360832,1019,3147
1725,678774928607469569,814,2560
1726,678767140346941444,1217,3206
1727,678764513869611008,412,1475
1728,678755239630127104,2913,6443
1729,678740035362037760,1478,3376
1730,678708137298427904,2170,5097
1731,678675843183484930,1307,2588
1732,678643457146150913,359,1868
1733,678446151570427904,1363,3639
1734,678424312106393600,2255,4972
1735,678410210315247616,1600,3807
1736,678399652199309312,28394,73001
1737,678396796259975168,372,1440
1738,678389028614488064,379,1706
1739,678380236862578688,818,2219
1740,678341075375947776,471,1562
1741,678334497360859136,222,1176
